2022-04-20 14:08:25,348 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:09:42,970 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:09:42,970 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:09:42,970 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:09:42,970 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:13:22,644 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:13:22,644 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:13:22,644 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:13:22,644 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:14:17,011 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:14:17,011 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:14:17,011 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
