Date,Open,High,Low,Close,Adj Close,Volume
2021-11-21,604.408997,605.177124,580.587097,585.294250,585.294250,2055539646
2021-11-22,584.815796,585.148499,554.270264,559.127014,559.127014,2251971535
2021-11-23,559.570190,605.090454,559.041626,591.439575,591.439575,2927434189
2021-11-24,591.195557,594.830994,577.508362,581.395325,581.395325,2917418688
2021-11-25,590.356995,646.958801,587.859802,603.730225,603.730225,2537227998
2021-11-26,639.003601,657.512939,566.533142,585.147339,585.147339,4254504824
2021-11-27,587.103333,621.386658,584.794312,600.336792,600.336792,2485529516
2021-11-28,601.006409,612.737549,574.551270,611.366821,611.366821,2731676788
2021-11-29,611.762634,628.496887,602.442932,624.310059,624.310059,2425803182
2021-11-30,623.956970,635.129517,604.867615,622.669861,622.669861,2781531694
2021-12-01,621.812866,650.253174,619.197205,627.971558,627.971558,2806563703
2021-12-02,627.571838,629.884949,606.647827,619.470154,619.470154,2378758113
2021-12-03,620.299011,628.316345,579.845215,594.635986,594.635986,2483348354
2021-12-04,596.148682,596.148682,495.132263,569.077271,569.077271,4458419873
2021-12-05,568.651428,581.806580,543.635559,557.783081,557.783081,2394235567
2021-12-06,557.949768,593.383728,534.263672,589.256165,589.256165,3567503629
2021-12-07,589.110779,593.799255,573.338501,579.689880,579.689880,2112954675
2021-12-08,579.182678,607.780884,567.616211,607.592773,607.592773,2245501623
2021-12-09,606.635925,616.647339,568.039551,571.648987,571.648987,2132955304
2021-12-10,570.981018,594.597229,551.735840,552.966858,552.966858,2089946472
2021-12-11,553.671082,572.191528,542.565674,564.322510,564.322510,1824951693
2021-12-12,564.141418,574.185059,559.515259,570.823975,570.823975,1307635490
2021-12-13,571.177429,572.882385,511.998474,521.011597,521.011597,1900967743
2021-12-14,520.631714,536.297668,510.420776,511.229370,511.229370,2232411089
2021-12-15,528.428040,546.578125,503.037476,541.026978,541.026978,2079796859
2021-12-16,541.403809,545.151978,525.121643,526.246521,526.246521,1500825557
2021-12-17,526.148804,535.428284,511.700500,525.706299,525.706299,1804795681
2021-12-18,526.172363,537.818420,517.323853,533.891357,533.891357,1294574825
2021-12-19,534.018494,543.750793,527.772705,529.972046,529.972046,1199582659
2021-12-20,529.728027,534.780212,506.370361,523.162476,523.162476,1467380399
2021-12-21,523.388428,535.106140,517.760254,528.710999,528.710999,1461697111
2021-12-22,528.772766,544.647095,527.638855,533.644958,533.644958,1597323976
2021-12-23,533.718323,552.528687,524.781067,548.725830,548.725830,1867124970
2021-12-24,549.002258,554.125061,538.233704,541.902039,541.902039,1677259160
2021-12-25,542.467102,550.865967,540.545410,547.326233,547.326233,1305388019
2021-12-26,547.324158,549.410034,537.461731,546.994995,546.994995,1576727325
2021-12-27,546.507874,571.548889,543.506348,562.641479,562.641479,2180356553
2021-12-28,563.590332,563.590332,530.059937,534.928040,534.928040,2791585162
2021-12-29,534.850037,540.615784,511.745331,514.000793,514.000793,2159325741
2021-12-30,514.570251,527.568298,509.003479,518.909729,518.909729,1950603827
2021-12-31,519.123047,527.697327,507.885712,511.708313,511.708313,2020489898
2022-01-01,511.910370,527.352722,511.903534,527.352722,527.352722,1622547014
2022-01-02,527.291626,533.371033,518.753540,531.396667,531.396667,1462276185
2022-01-03,531.388855,532.095581,510.652161,512.135986,512.135986,1949153130
2022-01-04,512.130310,519.701660,503.215363,507.506104,507.506104,2200879165
2022-01-05,507.597809,515.239197,462.057556,475.056946,475.056946,2870757788
2022-01-06,475.079071,481.062836,460.248505,473.275604,473.275604,4400228627
2022-01-07,473.000061,474.296204,439.260010,447.788483,447.788483,4613172287
2022-01-08,447.856812,458.483795,419.195465,430.246155,430.246155,4068139021
2022-01-09,430.253113,444.493256,428.239502,438.803070,438.803070,3347862691
2022-01-10,438.785645,445.036163,408.698792,424.933777,424.933777,4156063326
2022-01-11,424.891205,467.281067,422.000916,463.518311,463.518311,4600615710
2022-01-12,463.562744,489.327301,457.116119,487.007416,487.007416,4131335431
2022-01-13,487.042572,488.211243,467.875610,475.029114,475.029114,4151007744
2022-01-14,475.127197,491.660645,468.939606,489.867432,489.867432,3112235914
2022-01-15,489.917999,501.311127,486.305908,494.988068,494.988068,1766015929
2022-01-16,494.924103,505.300964,489.502136,498.427917,498.427917,1771927950
2022-01-17,498.506165,498.943909,468.576508,475.709869,475.709869,2134608006
2022-01-18,475.736420,479.662109,458.152466,472.005066,472.005066,2106859289
2022-01-19,471.917206,472.774292,454.758606,462.822083,462.822083,1780063381
2022-01-20,462.856964,478.353943,439.978058,440.005432,440.005432,1881741995
2022-01-21,440.067139,444.180237,376.770172,383.073914,383.073914,3647221590
2022-01-22,383.474548,388.911987,340.054810,358.096161,358.096161,4226932408
2022-01-23,358.326599,388.593903,357.170654,383.933960,383.933960,2786834863
2022-01-24,384.040619,384.040619,337.853943,371.368958,371.368958,3210871602
2022-01-25,371.386841,387.176849,358.083557,384.619354,384.619354,2325661159
2022-01-26,384.586243,400.152069,367.575104,375.755463,375.755463,2226973227
2022-01-27,375.542175,391.804382,360.331696,390.088287,390.088287,1952844398
2022-01-28,390.000671,393.375580,376.752167,386.084381,386.084381,1592850476
2022-01-29,386.065735,396.772278,381.683777,389.132782,389.132782,1330610935
2022-01-30,389.202209,389.247192,373.036285,377.612915,377.612915,1289330238
2022-01-31,377.648987,384.977386,366.112030,375.277313,375.277313,1386778184
2022-02-01,375.099182,387.767548,374.326843,385.463806,385.463806,1392647608
2022-02-02,385.488770,386.114716,366.895386,367.471680,367.471680,1290849744
